row_index,orig_id,tried_id,name,moid_au,moid_km,intersects,error
86,2005324,5324,5324 Lyapunov (1987 SL),0.223,33360325.2,False,
87,2005332,5332,5332 Davidaguilar (1990 DA),0.305,45627350.6,False,
88,2005370,5370,5370 Taranis (1986 RA),0.212,31714748.6,False,
89,2005381,5381,5381 Sekhmet (1991 JY),0.111,16605363.6,False,
90,2005496,5496,5496 (1973 NA),0.0945,14136998.8,False,
91,2005587,5587,5587 (1990 SB),0.31,46375339.9,False,
92,2005590,5590,5590 (1990 VA),0.121,18101342.4,False,
93,2005604,5604,5604 (1992 FE),0.0336,5026488.5,False,
94,2005620,5620,5620 Jasonwheeler (1990 OA),0.236,35305097.5,False,
95,2005626,5626,5626 Melissabrucker (1991 FE),0.213,31864346.5,False,
96,2005645,5645,5645 (1990 SP),0.054,8078285.0,False,
97,2005646,5646,5646 (1990 TR),0.211,31565150.7,False,
98,2005653,5653,5653 Camarillo (1992 WD5),0.282,42186599.5,False,
99,2005660,5660,5660 (1974 MA),0.162,24234855.1,False,
100,2005693,5693,5693 (1993 EA),0.00586,876643.5,False,
101,2005731,5731,5731 Zeus (1988 VP4),0.0647,9678982.2,False,
102,2005751,5751,5751 Zao (1992 AC),0.24,35903489.0,False,
103,2005786,5786,5786 Talos (1991 RC),0.189,28273997.6,False,
104,2005797,5797,5797 Bivoj (1980 AA),0.0698,10441931.4,False,
105,2005828,5828,5828 (1991 AM),0.399,59689550.4,False,
106,2005836,5836,5836 (1993 MF),0.18,26927616.7,False,
107,2005863,5863,5863 Tara (1983 RB),0.231,34557108.1,False,
108,2005869,5869,5869 Tanith (1988 VN4),0.31,46375339.9,False,
109,2005879,5879,5879 Almeria (1992 CH1),0.167,24982844.4,False,
110,2006037,6037,6037 (1988 EG),0.0239,3575389.1,False,
111,2006047,6047,6047 (1991 TB1),0.139,20794104.0,False,
112,2006050,6050,6050 Miwablock (1992 AE),0.268,40092229.3,False,
113,2006053,6053,6053 (1993 BW3),0.222,33210727.3,False,
114,2006063,6063,6063 Jason (1984 KB),0.0763,11414317.5,False,
115,2006178,6178,6178 (1986 DA),0.178,26628421.0,False,
116,2006239,6239,6239 Minos (1989 QF),0.0261,3904504.4,False,
117,2006455,6455,6455 (1992 HE),0.287,42934588.9,False,
118,2006456,6456,6456 Golombek (1992 OM),0.282,42186599.5,False,
119,2006489,6489,6489 Golevka (1991 JX),0.0225,3365952.1,False,
