Name,Epoch,Eccentricity,Inclination,Longitude Asc Node,Arg Perihelion,Perihelion Dist,Semi-major Axis,Mean Anomaly
74 Galatea (A862 QA),2461000.5,0.237,4.07,197,175,2.12,2.78,64.2
75 Eurydike (A862 SA),2461000.5,0.305,4.99,359,340,1.86,2.67,142
76 Freia (A862 UA),2461000.5,0.168,2.12,204,252,2.84,3.41,299
77 Frigga (A862 VA),2461000.5,0.134,2.42,1.05,61.1,2.31,2.67,107
78 Diana (A863 EA),2461000.5,0.203,8.68,333,153,2.09,2.62,155
79 Eurynome (A863 RA),2461000.5,0.191,4.61,207,201,1.98,2.44,127
80 Sappho (A864 JA),2461000.5,0.2,8.68,219,140,1.84,2.3,57.3
81 Terpsichore (A864 SA),2461000.5,0.212,7.8,0.895,51.2,2.25,2.85,119
82 Alkmene (A864 WA),2461000.5,0.221,2.83,25.4,111,2.15,2.76,331
83 Beatrix (A865 HA),2461000.5,0.083,4.97,27.7,170,2.23,2.43,132
84 Klio (A865 QA),2461000.5,0.235,9.31,327,15.1,1.81,2.36,38.9
85 Io (A865 SA),2461000.5,0.193,12,203,123,2.14,2.65,48.3
86 Semele (A866 AA),2461000.5,0.218,4.82,86.1,309,2.43,3.11,64
87 Sylvia (A866 KA),2461000.5,0.0943,10.9,73,266,3.16,3.48,95
88 Thisbe (A866 LA),2461000.5,0.165,5.23,276,36.9,2.31,2.77,202
89 Julia (A866 PA),2461000.5,0.184,16.1,312,45.2,2.08,2.55,358
90 Antiope (A866 TA),2461000.5,0.172,2.21,69.9,244,2.6,3.14,209
91 Aegina (A866 VA),2461000.5,0.108,2.1,10.4,74.3,2.31,2.59,14.4
92 Undina (A867 NA),2461000.5,0.105,9.92,101,237,2.85,3.19,238
93 Minerva (A867 QA),2461000.5,0.143,8.54,3.81,276,2.36,2.75,273
94 Aurora (A867 RA),2461000.5,0.0964,7.97,2.52,60.5,2.85,3.16,10.6
95 Arethusa (A867 WA),2461000.5,0.153,13,243,153,2.6,3.06,156
96 Aegle (A868 DA),2461000.5,0.142,16,321,208,2.61,3.05,189
97 Klotho (A868 DB),2461000.5,0.258,11.8,160,268,1.98,2.67,134
98 Ianthe (A868 HA),2461000.5,0.188,15.6,354,158,2.18,2.69,303
99 Dike (A868 KA),2461000.5,0.198,13.9,41.4,195,2.14,2.66,68.7
100 Hekate (A868 NA),2461000.5,0.168,6.43,127,184,2.57,3.09,323
