source,id,name,date,latitude,longitude,altitude_m,mass_g,diameter_m,velocity_km_s,miss_distance_km,recclass,orbital_inclination_deg,eccentricity,epoch,x,y,z,vx,vy,vz,energy,impact_e
neo,2002102,2102 Tantalus (1975 YA),1912-12-23,N/A,N/A,N/A,N/A,2713.580,33.9011179621,10979848.959116951,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2002135,2135 Aristaeus (1977 HA),1958-10-17,N/A,N/A,N/A,N/A,1055.705,27.4377860884,71380028.480414418,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2002201,2201 Oljato (1947 XC),1903-06-18,N/A,N/A,N/A,N/A,3711.441,25.3456267744,25845171.89043248,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2002202,2202 Pele (1972 RA),1972-10-07,N/A,N/A,N/A,N/A,1727.996,6.4939303073,22477105.54873577,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2002212,2212 Hephaistos (1978 SB),1905-03-14,N/A,N/A,N/A,N/A,8581.093,29.4211463722,17637403.775555449,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2002329,2329 Orthos (1976 WA),1909-05-16,N/A,N/A,N/A,N/A,5218.463,23.4239211559,72695339.822467089,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2002340,2340 Hathor (1976 UA),1901-07-04,N/A,N/A,N/A,N/A,352.811,17.4915658691,11911205.968456928,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2002368,2368 Beltrovata (1977 RA),N/A,N/A,N/A,N/A,N/A,4013.679,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2002608,2608 Seneca (1978 DA),1905-03-01,N/A,N/A,N/A,N/A,1372.596,17.1348117091,25771799.401042504,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2003102,3102 Krok (1981 QA),1981-08-25,N/A,N/A,N/A,N/A,2520.825,6.127545116,29746628.24083123,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2003103,3103 Eger (1982 BB),1981-08-03,N/A,N/A,N/A,N/A,3745.783,16.9574701096,26405147.011411155,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2003122,3122 Florence (1981 ET3),1930-08-29,N/A,N/A,N/A,N/A,6569.656,13.9543936845,7837812.447728948,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
