sim_neo_Name,sim_neo_Date,sim_neo_Diameter_min_m,sim_neo_Diameter_max_m,sim_neo_Diameter_avg_m,sim_neo_Velocity_km_s,sim_neo_Mass_kg,sim_neo_Kinetic_Energy_J,sim_neo_Crater_Diameter_m,sim_neo_Impact_Severity_Index,sim_neo_Miss_Distance_km,sim_neo_Orbiting_Body,sim_neo_Inclination_deg,sim_neo_Eccentricity,sim_neo_Hazardous
(2025 SU7),2025-09-24,1.7772764105,3.9741108687,2.8756936396,9.3839339444,37354.91285661185,1644703497590.7305,122.09520581816132,0.12373990931575204,71974.5272144,Earth,,,False
(2025 SP3),2025-09-23,4.9585531942,11.0876620123,8.02310760325,12.3435159914,811236.9575229625,61800999647555.35,306.65520868158643,0.3684562083291418,410024.244884836,Earth,,,False
(2025 SV4),2025-09-23,2.6275741256,5.8754343608,4.251504243199999,7.3708712332,120711.24455660865,3279105431076.529,148.9366288651418,0.15221573429621835,229857.905163924,Earth,,,False
(2025 SK12),2025-09-23,4.4397138182,9.9275018982,7.1836078582,15.3268328434,582301.2569873038,68394719669101.39,309.439892858065,0.3778346125271664,300466.095192466,Earth,,,False
(2025 ST4),2025-09-22,4.1817202569,9.3506107574,6.76616550715,11.7349338918,486572.6878609625,33502639689930.242,262.5842792798938,0.29608691896982403,86971.190089355,Earth,,,False
(2025 SV5),2025-09-22,5.4923091737,12.2811766658,8.88674291975,15.1481548504,1102421.6348322087,126484469604523.58,363.41890931407386,0.4899033789185974,663857.811719198,Earth,,,False
(2025 FA22),2025-09-18,124.3240005541,277.9969164738,201.16045851395,10.7855582952,12786383546.534246,7.437089243083973e+17,3566.5145016992656,747.2754388100966,842056.146580899,Earth,,,True
(2025 SC),2025-09-18,2.5313661983,5.6603068953,4.0958365468,3.2082730079,107931.37941636701,555469691061.7583,100.32672057401884,0.10088219026508059,465032.488708074,Earth,,,False
(2025 RL2),2025-09-19,16.6937911773,37.3284518745,27.0111215259,9.6624001757,30956205.96888307,1445066297241854.8,709.6932027333612,2.1547594999752158,216489.495425623,Earth,,,False
(2025 SY1),2025-09-19,1.2346816015,2.7608319916,1.99775679655,7.8517811947,12524.134632876208,386059380264.0903,84.96483919581006,0.08535089857607416,57210.848062183,Earth,,,False
(2025 SN4),2025-09-21,20.929313176,46.799366984,33.864340080000005,10.6479766852,61002513.20344017,3458214401159636.5,883.5411011036095,4.341755502263246,720935.906631543,Earth,,,False
(2025 SD5),2025-09-21,9.2290070259,20.6366870746,14.93284705025,6.5214733045,5230554.451752595,111226731079842.3,375.9874543558776,0.4872141854357199,838935.564932273,Earth,,,False
(2025 SQ4),2025-09-20,14.1044117102,31.5384233666,22.8214175384,8.6121052337,18670146.57891631,692367044211938.9,591.5416673294742,1.2839087115414132,985713.634761069,Earth,,,False
(2025 SS5),2025-09-28,6.988033473,15.6257178747,11.30687567385,7.9558733027,2270637.0899377647,71861031806647.1,330.3238217027622,0.4021848535094093,104351.605264038,Earth,,,False
(2025 SO20),2025-09-28,5.5661509077,12.4462918025,9.0062213551,9.563510987,1147486.877222382,52475000841630.38,299.94724389172507,0.3524222447333554,136891.071801561,Earth,,,False
(2025 SB21),2025-09-28,1.4472880513,3.2362344656,2.34176125845,8.1291812919,20171.942781907546,666517182786.3176,97.65485348845961,0.09832137067124593,233993.523320287,Earth,,,False
(2025 TF),2025-10-01,1.2138219217,2.7141883295,1.9640051256,20.8761143007,11900.020995027624,2593086857304.5977,128.9220165218954,0.1315151033792,6780.463618602,Earth,,,False
(2025 TP),2025-10-01,3.824326621,8.5514542927,6.187890456850001,14.7102960698,372175.45466784213,40268046310119.69,270.5120769501315,0.3107801232602512,107633.498295885,Earth,,,False
(2025 TQ),2025-10-01,4.4869887082,10.0332117659,7.2601002370500005,10.076224703,601101.3835757696,30515003184384.6,259.4276657963003,0.2899426689806849,310790.188276267,Earth,,,False
(2025 SW6),2025-09-27,5.0205925419,11.2263862111,8.1234893765,5.7194115323,842069.0932795779,13772742422335.242,220.73125338968487,0.2345039958120201,941732.997924881,Earth,,,False
(2025 SG15),2025-09-27,18.3296839463,40.98641931,29.65805162815,7.7206258928,40977714.05594752,1221301104628105.2,691.6212695878097,1.912922374215915,350925.112668365,Earth,,,False
(2025 TD),2025-09-27,8.7650616805,19.5992737445,14.1821677125,7.2092858659,4480719.19406599,116440007664877.8,377.4520820968953,0.4938920897617731,826504.326010374,Earth,,,False
(2025 SS7),2025-09-26,2.593910437,5.8001600646,4.1970352508,5.4637128982,116130.88283768477,1733378768386.0225,129.2468299122296,0.13098020868061563,286758.128208839,Earth,,,False
(2025 SL15),2025-09-26,5.1021706082,11.4088003126,8.2554854604,18.9116141399,883787.2412482126,158042877531098.22,378.3117410823793,0.5363546186134776,237180.182348092,Earth,,,False
(2025 SW20),2025-09-26,11.7965490166,26.377885501,19.087217258800003,19.1395488851,10923145.725321801,2000696104844334.5,731.2387265209403,2.731934831365275,659954.848170259,Earth,,,False
(2025 SL27),2025-09-26,9.0605586638,20.2600250863,14.66029187505,6.1906114175,4949344.996831055,94838531500584.45,362.2296500762231,0.45706818157680756,769514.763117495,Earth,,,False
(2025 TE),2025-09-30,5.4444620707,12.1741872911,8.809324680900001,14.8708828224,1073860.152986461,118738411622765.3,358.0250445819883,0.4767634562047536,279945.246731808,Earth,,,False
(2025 TC),2025-10-03,10.4365023829,23.3367287756,16.88661557925,16.1451012843,7563933.946001507,985823756547025.1,616.6676657641323,1.6024914223111573,85671.453875221,Earth,,,False
(2025 TS),2025-10-03,8.9940433527,20.1112923293,14.552667841,9.1488496108,4841140.953034721,202605256777743.7,427.6874354961048,0.6302926922738484,647814.666864232,Earth,,,False
(2025 TP1),2025-10-02,8.5026632016,19.0125329085,13.75759805505,12.6265620355,4090229.979794738,326052823617547.6,471.6921929249371,0.7977450165424846,225395.176305019,Earth,,,False
