jd,epoch,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s,distance_km
2460711.5,2025-02-05T00:00:00,1.9920532367276956e+16,-3.4795870801235116e+16,-1967839425499345.0,35634.469676469766,22392.056281664292,3908.50736673692,4.014290256840585e+16
2460712.5,2025-02-06T00:00:00,2.018602459322795e+16,-3.462782449652329e+16,-1938612121634910.0,35495.45053158185,22630.483204314183,3921.993190295052,4.012879309421817e+16
2460713.5,2025-02-07T00:00:00,2.0450471728332536e+16,-3.4458001830424748e+16,-1909284851350178.8,35354.4719445884,22867.97255241576,3935.289962383721,4.011509756563579e+16
2460714.5,2025-02-08T00:00:00,2.0713859175294976e+16,-3.428640988235229e+16,-1879859031383928.0,35211.5419678761,23104.50278255228,3948.3962194886562,4.010181709763901e+16
2460715.5,2025-02-09T00:00:00,2.0976172398094364e+16,-3.411305589225679e+16,-1850336089311910.0,35066.66896558504,23340.052427996503,3961.3105217814073,4.008895277288023e+16
2460716.5,2025-02-10T00:00:00,2.1237396924308816e+16,-3.3937947260033348e+16,-1820717463368289.5,34919.861612763045,23574.600104428446,3974.031453577393,4.0076505641421144e+16
2460717.5,2025-02-11T00:00:00,2.149751834743278e+16,-3.376109154488478e+16,-1791004602263744.8,34771.12889439375,23808.124515647298,3986.557623786678,4.0064476720476824e+16
2460718.5,2025-02-12T00:00:00,2.1756522329186684e+16,-3.3582496464642536e+16,-1761198965000202.5,34620.480104299444,24040.6044592739,3998.8876663568362,4.005286699416716e+16
2460719.5,2025-02-13T00:00:00,2.2014394601817988e+16,-3.3402169895045156e+16,-1731302020682313.2,34467.924843912864,24272.018832445854,4011.020240709051,4.004167741327569e+16
2460720.5,2025-02-14T00:00:00,2.2271120970392388e+16,-3.322011986897401e+16,-1701315248325677.8,34313.4730209296,24502.346637491566,4022.954032164362,4.003090889501559e+16
2460721.5,2025-02-15T00:00:00,2.2526687315074744e+16,-3.3036354575647104e+16,-1671240136661947.2,34157.13484782971,24731.566987590035,4034.6877523625794,4.002056232280374e+16
2460722.5,2025-02-16T00:00:00,2.2781079593398292e+16,-3.2850882359770316e+16,-1641078183940825.2,33998.92084027161,24959.65911241019,4046.2201396727446,4.001063854604202e+16
2460723.5,2025-02-17T00:00:00,2.3034283842521492e+16,-3.2663711720647084e+16,-1610830897729011.2,33838.84181535893,25186.60236371597,4057.549959593778,4.000113837990693e+16
2460724.5,2025-02-18T00:00:00,2.3286286181471508e+16,-3.24748513112459e+16,-1580499794706237.8,33676.908889794686,25412.376220961705,4068.6760051462443,3.999206260514687e+16
2460725.5,2025-02-19T00:00:00,2.353707281337329e+16,-3.22843099372265e+16,-1550086400458358.0,33513.13347788853,25636.960296834426,4079.59709725486,3.998341196788767e+16
2460726.5,2025-02-20T00:00:00,2.3786630027663536e+16,-3.2092096555924628e+16,-1519592249267676.0,33347.5272894546,25860.334342773363,4090.31208512084,3.99751871794463e+16
2460727.5,2025-02-21T00:00:00,2.403494420228822e+16,-3.1898220275295744e+16,-1489018883900478.8,33180.10232758502,26082.478254452155,4100.819846584283,3.996738891615274e+16
2460728.5,2025-02-22T00:00:00,2.4282001805883396e+16,-3.170269035281803e+16,-1458367855391947.2,33010.870886296914,26303.372077217835,4111.119288476456,3.996001781918054e+16
