source_row_index,date,date_raw,latitude,longitude,altitude_m,velocity_km_s,energy_kilotons,impact_e,energy_joules,mass_kg_est,impactor_diameter_m_est,crater_diameter_m_est,impact_type
36,2024-09-23T06:37:47,2024-09-23 06:37:47,-45.6,-31.9,69.0,,5.5,0.18,23012000000000.0,,,2.190224291403605,surface/ground
37,2024-09-06T12:36:22,2024-09-06 12:36:22,-12.9,117.7,27.0,22.6,2.1,0.076,8786400000000.0,34405.200093977604,2.797916419819774,1.7216812216456925,surface/ground
38,2024-09-04T16:39:32,2024-09-04 16:39:32,18.0,122.9,25.0,19.7,6.2,0.2,25940800000000.0,133684.45463681105,4.398659493156443,2.256814384884006,surface/ground
39,2024-08-25T06:50:49,2024-08-25 06:50:49,-33.6,24.5,38.2,20.1,2.6,0.092,10878400000000.0,53852.13237296107,3.248585806901016,1.8161062622962583,surface/ground
40,2024-08-20T12:53:51,2024-08-20 12:53:51,,,,,6.0,0.19,25104000000000.0,,,2.2383898691780564,
41,2024-07-30T19:27:16,2024-07-30 19:27:16,-6.7,-124.4,39.0,14.6,2.7,0.095,11296800000000.0,105993.61981610059,4.071176668996053,1.8333224642158892,surface/ground
42,2024-07-20T14:08:10,2024-07-20 14:08:10,-73.7,22.5,38.8,30.8,243.3,5.1,1017967200000000.0,2146161.2413560464,11.096367290366207,5.648504072305496,surface/ground
43,2024-07-13T03:10:41,2024-07-13 03:10:41,-7.4,-41.0,32.0,,59.0,1.5,246856000000000.0,,,3.963792593880384,surface/ground
44,2024-07-12T00:09:35,2024-07-12 00:09:35,2.6,46.6,41.5,22.4,8.5,0.26,35564000000000.0,141757.01530612246,4.485472804104105,2.44203930888808,surface/ground
45,2024-06-28T16:05:19,2024-06-28 16:05:19,55.1,140.6,29.2,15.3,3.8,0.13,15899200000000.0,135838.352770302,4.422157195526765,1.996842530657092,surface/ground
46,2024-06-18T21:01:32,2024-06-18 21:01:32,32.2,-31.8,28.7,16.2,2.2,0.079,9204800000000.0,70147.8433165676,3.5478464500940436,1.7418212683878425,surface/ground
47,2024-06-18T13:51:19,2024-06-18 13:51:19,44.3,173.2,44.3,35.4,49.1,1.2,205434400000000.0,327866.1942609084,5.931878598332637,3.785892621490156,surface/ground
48,2024-06-03T01:13:51,2024-06-03 01:13:51,-63.1,-53.2,60.0,,2.67,0.094,11171280000000.0,,,1.828208544215253,surface/ground
49,2024-06-01T23:24:58,2024-06-01 23:24:58,-1.0,-15.9,26.5,12.6,8.01,0.25,33513840000000.0,422195.01133786846,6.453536045697557,2.4060577552994022,surface/ground
50,2024-05-27T03:19:36,2024-05-27 03:19:36,1.7,-39.4,56.0,39.2,8.4,0.26,35145600000000.0,45743.44023323615,3.0765901752557463,2.4348249337344168,surface/ground
51,2024-05-24T16:19:59,2024-05-24 16:19:59,6.6,114.2,42.0,36.5,5.4,0.18,22593600000000.0,33917.95834115219,2.7846456714618433,2.180200118539857,surface/ground
52,2024-05-18T22:46:48,2024-05-18 22:46:48,41.0,-8.8,74.3,40.4,3.79,0.13,15857360000000.0,19431.134202529163,2.312736163758186,1.9955275200456297,surface/ground
53,2024-05-15T12:48:27,2024-05-15 12:48:27,49.8,-54.0,64.2,,2.83,0.099,11840720000000.0,,,1.855002622127909,surface/ground
54,2024-05-05T20:11:03,2024-05-05 20:11:03,-7.1,-112.7,39.0,13.9,3.7,0.13,15480800000000.0,160248.43434604834,4.6725932007161886,1.9835737392346369,surface/ground
55,2024-04-09T04:47:43,2024-04-09 04:47:43,36.5,-37.8,36.3,,3.33,0.11,13932720000000.0,,,1.932008253325371,surface/ground
56,2024-03-17T06:17:58,2024-03-17 06:17:58,27.6,117.2,42.1,25.6,3.3,0.11,13807200000000.0,42136.23046875,2.993495442266849,1.9276421050743064,surface/ground
57,2024-02-26T11:21:01,2024-02-26 11:21:01,22.9,57.1,33.1,31.3,3.8,0.13,15899200000000.0,32457.614143249397,2.744093501622619,1.996842530657092,surface/ground
58,2024-02-05T00:32:54,2024-02-05 00:32:54,-13.8,123.7,23.0,14.4,4.85,0.16,20292400000000.0,195721.45061728396,4.994662909646013,2.1224298922759246,surface/ground
59,2023-12-30T21:04:33,2023-12-30 21:04:33,-63.4,79.9,37.0,28.3,23.8,0.65,99579200000000.0,248671.35311965438,5.409643265215863,3.158945681588567,surface/ground
60,2023-12-11T08:32:58,2023-12-11 08:32:58,-53.6,146.0,31.7,26.0,12.2,0.36,51044800000000.0,151020.11834319527,4.581119736685251,2.6729317925090186,surface/ground
61,2023-12-05T23:10:11,2023-12-05 23:10:11,10.0,42.9,24.1,20.6,2.1,0.076,8786400000000.0,41410.123480064096,2.976200711423113,1.7216812216456925,surface/ground
62,2023-11-21T22:17:29,2023-11-21 22:17:29,-9.4,17.4,37.0,18.3,4.4,0.15,18409600000000.0,109944.1607692078,4.121140590553057,2.071386245429886,surface/ground
63,2023-10-30T07:22:55,2023-10-30 07:22:55,-42.9,-44.7,33.8,17.6,2.61,0.092,10920240000000.0,70507.7479338843,3.553903698642871,1.817850005315097,surface/ground
64,2023-10-26T08:58:24,2023-10-26 08:58:24,45.9,-174.8,44.2,30.2,29.2,0.78,122172800000000.0,267911.0565326082,5.545706993975812,3.3246323913698617,surface/ground
65,2023-10-23T02:51:26,2023-10-23 02:51:26,-49.6,75.4,39.0,,5.35,0.17,22384400000000.0,,,2.1751357402804996,surface/ground
66,2023-10-16T17:14:52,2023-10-16 17:14:52,-6.5,-65.4,35.3,19.8,3.12,0.11,13054080000000.0,66595.65350474442,3.4869201536762855,1.9008006309893202,surface/ground
67,2023-10-14T22:55:25,2023-10-14 22:55:25,-8.4,-161.9,37.0,19.3,5.44,0.18,22760960000000.0,122209.77744368976,4.269024940615259,2.184226359360141,surface/ground
68,2023-09-28T20:32:33,2023-09-28 20:32:33,13.2,72.4,37.0,,5.01,0.16,20961840000000.0,,,2.1397219923221007,surface/ground
69,2023-09-07T15:34:46,2023-09-07 15:34:46,27.0,150.8,,,2.16,0.078,9037440000000.0,,,1.7338493371292023,
70,2023-09-03T04:28:00,2023-09-03 04:28:00,-43.2,102.2,37.0,,2.29,0.082,9581360000000.0,,,1.7593684089296038,surface/ground
71,2023-08-17T05:57:37,2023-08-17 05:57:37,48.6,100.1,35.4,16.1,10.4,0.31,43513600000000.0,335740.13348250446,5.978989543705624,2.568362106850078,surface/ground
72,2023-08-05T19:54:49,2023-08-05 19:54:49,19.9,-131.7,44.0,21.8,172.0,3.8,719648000000000.0,3028566.618971467,12.44626618045972,5.179406896102649,surface/ground
73,2023-07-26T03:41:53,2023-07-26 03:41:53,18.9,-103.4,36.1,15.6,15.2,0.44,63596800000000.0,522656.14727153187,6.929449412008198,2.8239617887786723,surface/ground
74,2023-07-07T16:15:30,2023-07-07 16:15:30,14.5,-126.6,38.3,25.7,2.62,0.093,10962080000000.0,33193.78037517601,2.764684725083814,1.8195887447537966,surface/ground
75,2023-07-06T05:52:30,2023-07-06 05:52:30,-59.3,-145.4,71.0,,3.12,0.11,13054080000000.0,,,1.9008006309893202,surface/ground
76,2023-06-21T19:39:12,2023-06-21 19:39:12,12.4,62.8,40.4,16.5,54.7,1.4,228864800000000.0,1681284.113865932,10.229170342246361,3.8895087295372712,surface/ground
77,2023-05-20T11:22:22,2023-05-20 11:22:22,-17.8,141.9,29.0,27.9,351.0,7.1,1468584000000000.0,3773291.7100242805,13.392659731101618,6.190485320351739,surface/ground
78,2023-05-16T23:28:50,2023-05-16 23:28:50,-2.8,-53.0,,,3.06,0.11,12803040000000.0,,,1.8915955148214805,
79,2023-05-07T23:00:05,2023-05-07 23:00:05,36.1,3.9,,,3.98,0.13,16652320000000.0,,,2.0200805493112353,
80,2023-04-26T13:14:59,2023-04-26 13:14:59,47.0,-10.7,29.6,16.2,3.2,0.11,13388800000000.0,102033.22664228013,4.019825935693526,1.9128698126974997,surface/ground
81,2023-04-15T08:21:58,2023-04-15 08:21:58,-20.1,36.0,41.4,17.2,321.0,6.5,1343064000000000.0,9079664.683612764,17.946646605303805,6.053745748682048,surface/ground
82,2023-04-06T14:47:38,2023-04-06 14:47:38,57.4,109.9,31.2,22.1,6.94,0.22,29036960000000.0,118904.03554390778,4.230180567483767,2.321334823821324,surface/ground
83,2023-04-01T00:02:02,2023-04-01 00:02:02,-16.8,76.0,61.8,46.4,2.34,0.084,9790560000000.0,9094.976218787158,1.795672907714284,1.7688943033829982,surface/ground
84,2023-03-20T06:53:22,2023-03-20 06:53:22,-23.7,-132.6,34.8,,2.69,0.095,11254960000000.0,,,1.8316225806411783,surface/ground
85,2023-03-11T08:21:28,2023-03-11 08:21:28,-74.7,79.5,32.0,,44.5,1.1,186188000000000.0,,,3.693923709369197,surface/ground
86,2023-03-03T02:53:54,2023-03-03 02:53:54,40.1,87.4,32.0,25.3,6.42,0.2,26861280000000.0,83929.69738630505,3.766447573697229,2.2765734987252317,surface/ground
87,2023-02-19T06:15:33,2023-02-19 06:15:33,7.9,109.9,37.0,23.0,13.6,0.4,56902400000000.0,215131.9470699433,5.154600484926182,2.7465192422540943,surface/ground
88,2023-02-14T22:55:24,2023-02-14 22:55:24,-48.0,-53.3,32.3,15.6,18.4,0.52,76985600000000.0,632689.0203813281,7.38510725355028,2.9621181328360677,surface/ground
89,2023-02-02T20:49:22,2023-02-02 20:49:22,-26.2,-143.1,33.0,,3.0,0.1,12552000000000.0,,,1.8822540169320587,surface/ground
90,2023-01-22T17:11:42,2023-01-22 17:11:42,3.5,-76.2,61.0,,1.98,0.072,8284320000000.0,,,1.6965404410130207,surface/ground
91,2023-01-17T06:57:17,2023-01-17 06:57:17,33.1,-173.7,38.0,14.2,2.92,0.1,12217280000000.0,121179.13112477683,4.256990219614701,1.8695781847336874,surface/ground
92,2023-01-11T23:59:50,2023-01-11 23:59:50,31.5,18.6,33.5,17.5,3.94,0.13,16484960000000.0,107656.88163265307,4.092361337094782,2.014985728046275,surface/ground
93,2023-01-09T01:17:13,2023-01-09 01:17:13,-45.7,135.0,27.0,16.7,7.14,0.22,29873760000000.0,214233.28193911578,5.147413074492922,2.33788137926886,surface/ground
94,2023-01-02T16:38:01,2023-01-02 16:38:01,1.5,129.0,44.6,,4.58,0.15,19162720000000.0,,,2.092253429810101,surface/ground
95,2022-12-29T06:52:08,2022-12-29 06:52:08,42.3,92.9,32.3,16.4,5.77,0.19,24141680000000.0,179518.73884592505,4.852847425058319,2.2166231889962837,surface/ground
96,2022-12-13T17:26:00,2022-12-13 17:26:00,32.8,-2.1,20.0,18.7,6.28,0.2,26275520000000.0,150278.932769024,4.573612944634799,2.264059468068509,surface/ground
97,2022-11-20T15:35:21,2022-11-20 15:35:21,-17.0,-95.7,50.0,,5.47,0.18,22886480000000.0,,,2.18723149330742,surface/ground
98,2022-11-20T13:53:54,2022-11-20 13:53:54,15.0,-109.7,26.0,21.7,3.37,0.12,14100080000000.0,59886.93750132727,3.3656638846352016,1.9377841271827556,surface/ground
99,2022-11-08T08:54:01,2022-11-08 08:54:01,77.2,-93.2,41.0,,6.17,0.2,25815280000000.0,,,2.254079399793541,surface/ground
