id,tried_id,name,source,moid_au,moid_km,intersects,date,velocity_km_s,miss_distance_km,diameter_m
,,214869 (2007 PA8),neo,,,,1900-01-07,11.594282513,7504946.849766131,2145.570
,,10115 (1992 SK),neo,,,,1928-07-27,8.7023098998,7517055.795036902,1635.094
,,153814 (2001 WN5),neo,,,,1916-10-02,11.1382174551,7625252.933227586,949.604
,,66272 (1999 JW6),neo,,,,1997-08-09,20.6940983354,7630653.521053095,1547.186
,,202683 (2006 US216),neo,,,,1902-05-24,32.7293136696,7639767.99567965,475.929
,,85182 (1991 AQ),neo,,,,1905-05-01,16.6932749093,7664223.836593214,1612.659
,,67399 (2000 PJ6),neo,,,,1911-06-08,11.7364516433,7761285.717169596,894.422
,,85989 (1999 JD6),neo,,,,1903-07-24,20.3382564611,7772485.586103951,1657.840
,,154144 (2002 FA5),neo,,,,2052-08-23,12.5351395428,7784804.267588462,1353.763
,,65803 Didymos (1996 GT),neo,,,,1901-02-04,8.9783810123,7802131.096806111,1026.934
,,3122 Florence (1981 ET3),neo,,,,1930-08-29,13.9543936845,7837812.447728948,6569.656
,,4015 Wilson-Harrington (1979 VA),neo,,,,1919-09-30,8.8059885516,7860397.821594541,2486.238
,,215442 (2002 MQ3),neo,,,,1900-10-31,22.6489359074,7920591.112632192,846.336
,,153953 (2002 AD9),neo,,,,1912-03-02,33.0266984718,7938790.546225551,1868.713
,,137120 (1999 BJ8),neo,,,,1910-02-15,14.4279405097,7984596.830587858,945.241
,,237442 (1999 TA10),neo,,,,1981-05-11,10.9964176451,8105476.876197142,1003.558
,,3988 Huma (1986 LA),neo,,,,1900-07-25,7.3299903587,8206416.543000942,1110.562
,,140158 (2001 SX169),neo,,,,1900-07-06,13.3018130786,8272474.968129813,866.049
,,162913 (2001 MT18),neo,,,,1901-01-03,14.4644433159,8315478.925352132,866.049
,,16912 Rhiannon (1998 EP8),neo,,,,1911-07-25,13.1915083092,8365932.617143859,1126.011
,,137052 Tjelvar (1998 VO33),neo,,,,1902-07-17,47.4498101156,8413231.76857047,1680.903
,,152931 (2000 EA107),neo,,,,1901-01-18,21.3089218116,8448480.61709135,2363.429
,,136923 (1998 JH2),neo,,,,1949-06-11,8.50578384,8467466.591405808,2352.570
,,162000 (1990 OS),neo,,,,1909-11-19,11.5067664476,8589925.25357848,507.625
,,54686 (2001 DU8),neo,,,,1963-04-16,15.9824989722,8718322.008723571,2049.003
,,171839 (2001 JM1),neo,,,,1904-05-01,10.156757776,8726337.926351568,613.116
,,226198 (2002 UN3),neo,,,,1939-02-27,8.5331175345,8760710.400630414,730.369
,,223456 (2003 UB10),neo,,,,1900-02-23,8.3453177105,8782878.605875725,945.241
,,154302 (2002 UQ3),neo,,,,1906-05-02,21.8161837939,8901593.431753777,1246.071
,,152637 (1997 NC1),neo,,,,1902-01-10,10.5044193676,9024539.902660945,1146.945
,,9856 (1991 EE),neo,,,,1900-08-28,14.0445450041,9138963.378999964,1627.581
,,88263 (2001 KQ1),neo,,,,1915-08-08,21.5333840571,9149725.135612237,3129.988
,,215757 (2004 FU64),neo,,,,2161-11-05,13.128515229,9162720.08922787,1141.675
,,138859 (2000 WN63),neo,,,,1932-05-15,9.9223872964,9179523.894372425,687.927
,,172974 (2005 YW55),neo,,,,1918-07-09,8.5210815821,9194548.861164384,566.947
,,86039 (1999 NC43),neo,,,,1937-02-05,10.5881171562,9302987.510156396,2776.787
,,52387 Huitzilopochtli (1993 OM7),neo,,,,1942-01-18,13.0838250676,9311030.534918437,1212.112
,,162063 (1997 EH29),neo,,,,1907-02-15,20.8320574559,9334250.742305162,697.497
,,163023 (2001 XU1),neo,,,,1902-11-26,19.7218119097,9336985.914961307,536.467
,,142561 (2002 TX68),neo,,,,1908-09-16,9.388967514,9346850.607946125,985.241
,,168378 (1997 ET30),neo,,,,1988-08-29,8.7477391498,9389942.513756217,1784.607
,,137802 (1999 YT),neo,,,,1947-12-19,14.3392718342,9480807.990718051,1768.246
,,33342 (1998 WT24),neo,,,,1905-07-17,25.3893164003,9529364.8712769,1070.391
,,175189 (2005 EC224),neo,,,,1967-01-12,9.0927106721,9579074.373504525,945.241
,,178601 (2000 CG59),neo,,,,2019-07-03,9.7353534577,9585499.946096126,1217.706
,,164201 (2004 EC),neo,,,,1913-08-24,38.6625421625,9589731.291929502,3072.859
,,7335 (1989 JA),neo,,,,1916-05-20,14.939017208,9668051.52143271,1240.345
,,4544 Xanthus (1989 FB),neo,,,,1902-07-03,8.2268602192,9723899.24866324,1443.918
,,153267 (2001 CB32),neo,,,,1910-07-13,11.8452547213,9766044.184996445,1184.521
,,1862 Apollo (1932 HA),neo,,,,1911-01-29,11.6407136972,9839828.726759549,2615.427
,,55408 (2001 TC2),neo,,,,1911-09-02,13.946911577,9858874.181187119,723.673
,,4769 Castalia (1989 PB),neo,,,,1902-02-18,15.6642793458,9859362.333996716,1424.107
,,85713 (1998 SS49),neo,,,,1902-11-26,17.8811499557,9872429.528423772,3016.773
,,68278 (2001 FC7),neo,,,,1963-01-31,0.7854187445,9932744.741725473,870.047
,,2063 Bacchus (1977 HB),neo,,,,1903-03-06,10.3891121599,9959874.764243583,1554.328
,,215588 (2003 HF2),neo,,,,1900-11-18,11.8411177354,9978429.417979257,561.749
,,175706 (1996 FG3),neo,,,,1901-03-20,7.359566212,10010295.99329752,940.898
,,185716 (1998 SF35),neo,,,,1994-07-13,18.7373645121,10043128.357504716,1105.459
,,40263 (1999 FQ5),neo,,,,2004-09-20,10.2259341316,10054613.090703125,1206.542
,,136617 (1994 CC),neo,,,,1921-08-13,7.9224150739,10063643.64092461,1095.324
,,4034 Vishnu (1986 PA),neo,,,,1904-12-26,15.1768344049,10094314.19623201,862.070
,,155334 (2006 DZ169),neo,,,,1986-02-11,7.353746159,10171749.748811399,1540.078
,,20236 (1998 BZ7),neo,,,,1905-06-12,11.3977422644,10181490.514920709,1240.345
,,68348 (2001 LO7),neo,,,,1904-04-02,38.2167758341,10239687.42238321,6019.253
,,2061 Anza (1960 UA),neo,,,,1943-09-15,6.8951216486,10260841.114713329,1965.815
,,65706 (1992 NA),neo,,,,1903-09-10,8.6145263874,10263506.021249935,2087.097
,,162825 (2001 BO61),neo,,,,1901-09-15,21.3445138178,10305010.514141883,1095.324
,,189630 (2001 LE6),neo,,,,1920-08-24,20.7298657895,10413177.164286661,1173.661
,,24443 (2000 OG),neo,,,,1920-02-12,24.0371282463,10419707.978979807,2236.365
,,164294 (2004 XZ130),neo,,,,1900-01-06,14.113191695,10483812.371690525,349.577
,,163373 (2002 PZ39),neo,,,,1911-06-26,10.5743710996,10500878.586458847,672.268
,,4954 Eric (1990 SQ),neo,,,,1939-10-06,12.5268736975,10542556.268804894,13229.475
,,89355 (2001 VS78),neo,,,,2066-05-11,12.0636143422,10552090.918968918,2989.115
,,65679 (1989 UQ),neo,,,,1900-11-17,9.5287954543,10585367.349493422,514.686
,,159555 (2001 SJ276),neo,,,,2003-12-08,14.4639565093,10627733.720593801,786.217
,,153591 (2001 SN263),neo,,,,1913-01-31,6.8442106824,10634544.477781078,1627.581
,,170502 (2003 WM7),neo,,,,1903-11-06,26.0600543398,10703693.116190965,1450.583
,,198752 (2005 EA60),neo,,,,1904-03-25,12.4669157291,10819972.084831168,442.122
,,141053 (2001 XT1),neo,,,,1911-01-12,11.9861081588,10847891.146354806,727.014
,,27031 (1998 RO4),neo,,,,1983-01-26,7.4645637602,10855105.757951935,1136.430
,,141765 (2002 MP3),neo,,,,1909-05-25,17.0320400807,10859822.219758147,2374.338
,,6050 Miwablock (1992 AE),neo,,,,2011-09-02,6.7073937766,10870276.193712682,4421.225
,,2102 Tantalus (1975 YA),neo,,,,1912-12-23,33.9011179621,10979848.959116951,2713.580
,,8201 (1994 AH2),neo,,,,1904-01-26,15.6511727908,11059359.344394518,2789.604
,,54401 (2000 LM),neo,,,,1924-03-20,9.6914782479,11073825.907217128,1540.078
,,99935 (2002 AV4),neo,,,,1918-07-15,18.2883174747,11144334.255627232,2532.460
,,10145 (1994 CK1),neo,,,,1904-05-01,11.0138562074,11150117.529763988,1712.153
,,68267 (2001 EA16),neo,,,,1912-10-04,24.1700405789,11176669.820267945,1720.056
